City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
553,Isangel,VU,75.2,40,-19.55,169.2667,
554,Mweka,CD,90.0,95,-4.85,21.5667,
556,Turan,VN,84.2,20,16.0678,108.2208,
557,Choix,MX,68.58,0,26.7092,-108.3219,
558,Wajir,KE,93.2,75,1.7471,40.0573,
559,Sechura,PE,68.27,8,-5.5569,-80.8222,
561,Asmar,AF,80.56,41,35.0333,71.3581,
562,Shingu,JP,73.0,100,33.7333,135.9833,
563,Katobu,ID,75.9,100,-4.9408,122.5276,
567,Gigmoto,PH,81.45,88,13.7796,124.39,
568,Tingi,TZ,70.03,88,-11.3,35.0333,
569,Wanning,CN,82.67,27,18.8003,110.3967,
